author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/262519758/;Москва;sale;flat;5;21;2;110.6;103787040;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ID 108172779;real_estate_agent;https://www.cian.ru/sale/flat/301496936/;Москва;sale;flat;7;8;1;53.2;58786000;Таганский;Славянская площадь;2/5с1;Китай-город;LUMIN
Главстрой;developer;https://www.cian.ru/sale/flat/301772281/;Москва;sale;flat;2;8;2;48.83;24219680;Котловка;31/2;31/2;Профсоюзная;Новые Академики ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/302081797/;Москва;sale;flat;2;10;2;69.4;85000000;Тверской; Палиха;4;Менделеевская;Клубный дом Maison Rouge
VESPER;developer;https://www.cian.ru/sale/flat/286258299/;Москва;sale;flat;5;9;2;104.2;143796000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/300964449/;Москва;sale;flat;20;22;2;38.4;13999000;Южное Тушино;бульвар Яна Райниса;45К2;Сходненская;
Среда;developer;https://www.cian.ru/sale/flat/303859205/;Москва;sale;flat;6;27;2;53.6;20630640;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
Life Style;real_estate_agent;https://www.cian.ru/sale/flat/294212104/;Москва;sale;flat;34;78;2;76.1;62000000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Среда;developer;https://www.cian.ru/sale/flat/304434864/;Москва;sale;flat;8;30;2;56.31;23943012;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/276019027/;Москва;sale;flat;6;6;2;130.0;58000000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Sminex;developer;https://www.cian.ru/sale/flat/293713880/;Москва;sale;flat;2;14;2;85.6;168270000;Якиманка;;;Боровицкая;Лаврушинский ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/298050405/;Москва;sale;flat;7;9;2;108.3;169000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
